Feature_1,Feature_2,Correlation,Abs_Correlation
price_to_H4_low,distance_to_H4_low,0.9999999999999951,0.9999999999999951
price_to_ema_100,price_ema_distance_100,0.9999999999999948,0.9999999999999948
price_to_H1_low,distance_to_H1_low,0.9999999999999946,0.9999999999999946
price_to_ema_5,price_ema_distance_5,0.999999999999994,0.999999999999994
price_to_sma_10,price_sma_distance_10,0.9999999999999932,0.9999999999999932
historical_vol_annual_10,realized_vol_10,0.9999999999999925,0.9999999999999925
historical_vol_annual_10,returns_rolling_std_10,0.9999999999999925,0.9999999999999925
price_to_sma_100,price_sma_distance_100,0.9999999999999887,0.9999999999999887
price_to_D1_close,distance_to_D1_close,0.9999999999999862,0.9999999999999862
historical_vol_10,historical_vol_annual_10,0.9999999999999787,0.9999999999999787
historical_vol_annual_20,returns_rolling_std_20,0.9999999999999755,0.9999999999999755
historical_vol_annual_20,realized_vol_20,0.9999999999999755,0.9999999999999755
returns_rolling_mean_5,close_roc_5,0.9999995364468774,0.9999995364468774
returns_rolling_mean_10,close_roc_10,0.9999992561146871,0.9999992561146871
momentum_pct,returns_rolling_mean_10,0.9999992561146871,0.9999992561146871
returns_rolling_mean_20,close_roc_20,0.9999987124382832,0.9999987124382832
returns_rolling_mean_50,close_roc_50,0.9999975701289521,0.9999975701289521
close_rolling_mean_5,close_rolling_median_5,0.9999974699124439,0.9999974699124439
sma_5,close_rolling_median_5,0.9999974699124439,0.9999974699124439
low,close,0.9999965208416789,0.9999965208416789
sma_10,close_rolling_median_10,0.9999964940401727,0.9999964940401727
close_rolling_mean_10,close_rolling_median_10,0.9999964940401727,0.9999964940401727
open,high,0.9999964630109934,0.9999964630109934
high,close,0.9999963970853584,0.9999963970853584
open,low,0.9999960437533634,0.9999960437533634
sma_5,close_rolling_q25_5,0.9999957434788105,0.9999957434788105
close_rolling_mean_5,close_rolling_q25_5,0.9999957434788105,0.9999957434788105
sma_5,close_rolling_q75_5,0.9999957017247632,0.9999957017247632
close_rolling_mean_5,close_rolling_q75_5,0.9999957017247632,0.9999957017247632
ema_5,ema_10,0.9999952208382099,0.9999952208382099
high,low,0.9999937937121989,0.9999937937121989
close_rolling_median_5,close_rolling_q75_5,0.9999933925666226,0.9999933925666226
open,close,0.9999932025421675,0.9999932025421675
close_rolling_median_5,close_rolling_q25_5,0.9999932015938227,0.9999932015938227
close_rolling_max_5,close_rolling_q75_5,0.9999930062834658,0.9999930062834658
open,ema_5,0.9999929206182843,0.9999929206182843
close_rolling_min_5,close_rolling_q25_5,0.9999923073045319,0.9999923073045319
high,ema_5,0.9999922216730157,0.9999922216730157
bb_middle,close_rolling_median_20,0.9999920965719699,0.9999920965719699
sma_20,close_rolling_median_20,0.9999920965719699,0.9999920965719699
close_rolling_mean_20,close_rolling_median_20,0.9999920965719699,0.9999920965719699
sma_10,close_rolling_q25_10,0.9999919759156083,0.9999919759156083
close_rolling_mean_10,close_rolling_q25_10,0.9999919759156083,0.9999919759156083
sma_10,close_rolling_q75_10,0.9999918120983007,0.9999918120983007
close_rolling_mean_10,close_rolling_q75_10,0.9999918120983007,0.9999918120983007
low,ema_5,0.9999910169917284,0.9999910169917284
close,ema_5,0.9999908960199551,0.9999908960199551
ema_10,ema_20,0.9999905403862239,0.9999905403862239
close_rolling_mean_5,close_rolling_max_5,0.9999901685854508,0.9999901685854508
sma_5,close_rolling_max_5,0.9999901685854508,0.9999901685854508
sma_5,close_rolling_min_5,0.9999895491231287,0.9999895491231287
close_rolling_mean_5,close_rolling_min_5,0.9999895491231287,0.9999895491231287
close_rolling_median_10,close_rolling_q75_10,0.9999883398559873,0.9999883398559873
close_rolling_median_10,close_rolling_q25_10,0.9999881743565034,0.9999881743565034
close_rolling_max_10,close_rolling_q75_10,0.9999858672252415,0.9999858672252415
close_rolling_q25_5,close_rolling_q75_5,0.9999855036754092,0.9999855036754092
close_rolling_max_5,close_rolling_median_5,0.9999852988919596,0.9999852988919596
close_rolling_min_5,close_rolling_median_5,0.9999840888703374,0.9999840888703374
close_rolling_min_10,close_rolling_q25_10,0.9999840741704469,0.9999840741704469
ichimoku_its_9,close_rolling_mean_10,0.9999830164034933,0.9999830164034933
sma_10,ichimoku_its_9,0.9999830164034933,0.9999830164034933
bb_middle,close_rolling_q25_20,0.999982404700399,0.999982404700399
close_rolling_mean_20,close_rolling_q25_20,0.9999824047003988,0.9999824047003988
sma_20,close_rolling_q25_20,0.9999824047003988,0.9999824047003988
sma_20,close_rolling_q75_20,0.999982174087967,0.999982174087967
close_rolling_mean_20,close_rolling_q75_20,0.999982174087967,0.999982174087967
bb_middle,close_rolling_q75_20,0.9999821740879662,0.9999821740879662
open,close_lag_1,0.9999816418656058,0.9999816418656058
ema_5,close_lag_1,0.9999811546789018,0.9999811546789018
open,ema_10,0.9999810708401474,0.9999810708401474
high,ema_10,0.9999799542950845,0.9999799542950845
sma_5,close_lag_3,0.9999796239119327,0.9999796239119327
close_rolling_mean_5,close_lag_3,0.9999796239119327,0.9999796239119327
close_rolling_q25_5,close_lag_3,0.9999787155347285,0.9999787155347285
close_rolling_mean_50,close_rolling_median_50,0.9999786891530766,0.9999786891530766
sma_50,close_rolling_median_50,0.9999786891530766,0.9999786891530766
high,close_lag_1,0.9999781825819274,0.9999781825819274
low,ema_10,0.9999775220393751,0.9999775220393751
low,close_lag_1,0.9999774639062475,0.9999774639062475
close_rolling_median_5,close_lag_3,0.9999773348726027,0.9999773348726027
close,ema_10,0.9999770962586839,0.9999770962586839
close_rolling_mean_10,close_rolling_max_10,0.9999768374492194,0.9999768374492194
sma_10,close_rolling_max_10,0.9999768374492194,0.9999768374492194
bb_upper,close_rolling_min_20,0.9999767981847273,0.9999767981847273
close_rolling_max_5,close_rolling_q25_5,0.9999763533908752,0.9999763533908752
bb_lower,close_rolling_max_20,0.9999761784419509,0.9999761784419509
close_rolling_min_5,close_rolling_q75_5,0.9999752229650118,0.9999752229650118
ichimoku_its_9,close_rolling_median_10,0.9999750691777941,0.9999750691777941
close,close_lag_1,0.999974831085029,0.999974831085029
close_lag_2,close_lag_3,0.9999748310042413,0.9999748310042413
close_lag_1,close_lag_2,0.9999748309019921,0.9999748309019921
sma_10,close_rolling_min_10,0.9999747889474372,0.9999747889474372
close_rolling_mean_10,close_rolling_min_10,0.9999747889474372,0.9999747889474372
close_rolling_q75_5,close_lag_3,0.9999745575483939,0.9999745575483939
ema_5,ema_20,0.9999743701169725,0.9999743701169725
ichimoku_its_9,close_rolling_q25_10,0.9999741688642632,0.9999741688642632
close_rolling_median_20,close_rolling_q75_20,0.9999735039330759,0.9999735039330759
close_rolling_median_20,close_rolling_q25_20,0.9999729175333083,0.9999729175333083
ichimoku_its_9,close_rolling_q75_10,0.9999727970483405,0.9999727970483405
close_rolling_median_5,close_lag_2,0.99997094910869,0.99997094910869
ema_10,close_lag_1,0.9999708049334534,0.9999708049334534
close_rolling_q25_10,close_rolling_q75_10,0.9999706695359487,0.9999706695359487
close_rolling_min_5,close_lag_3,0.9999696425221599,0.9999696425221599
close_rolling_max_20,close_rolling_q75_20,0.9999693797323551,0.9999693797323551
close_rolling_max_10,close_rolling_median_10,0.9999688073885822,0.9999688073885822
returns,log_returns,0.99996843833764,0.99996843833764
close_rolling_mean_5,close_lag_2,0.9999683979194327,0.9999683979194327
sma_5,close_lag_2,0.9999683979194327,0.9999683979194327
close_rolling_max_5,close_lag_3,0.9999665089729715,0.9999665089729715
ema_5,close_lag_2,0.9999663970249087,0.9999663970249087
close_rolling_min_10,close_rolling_median_10,0.9999658294429056,0.9999658294429056
close_rolling_min_20,close_rolling_q25_20,0.9999652628635718,0.9999652628635718
ichimoku_its_9,close_rolling_max_10,0.999965039901406,0.999965039901406
close_rolling_min_5,close_rolling_max_5,0.9999647890977215,0.9999647890977215
close_rolling_q25_5,close_lag_2,0.9999644015658128,0.9999644015658128
close_rolling_q75_5,close_lag_2,0.9999641791148164,0.9999641791148164
ichimoku_its_9,close_rolling_min_10,0.9999638851531457,0.9999638851531457
ema_20,ema_50,0.9999637085756071,0.9999637085756071
sma_5,close_lag_5,0.9999616912243279,0.9999616912243279
close_rolling_mean_5,close_lag_5,0.9999616912243279,0.9999616912243279
ema_10,close_lag_2,0.9999611501142435,0.9999611501142435
close_rolling_q25_5,close_lag_5,0.9999578649773163,0.9999578649773163
close_rolling_median_5,close_lag_5,0.99995687170675,0.99995687170675
close_rolling_min_5,close_lag_5,0.9999565432724428,0.9999565432724428
open,close_lag_2,0.9999565134449196,0.9999565134449196
close_rolling_max_5,close_lag_2,0.9999557403902765,0.9999557403902765
bb_lower,close_rolling_q75_20,0.9999554173644571,0.9999554173644571
close_rolling_min_5,close_lag_2,0.9999553586837231,0.9999553586837231
close_rolling_q75_5,close_lag_5,0.9999546709807221,0.9999546709807221
close_rolling_mean_50,close_rolling_q25_50,0.9999543111930423,0.9999543111930423
sma_50,close_rolling_q25_50,0.9999543111930423,0.9999543111930423
bb_upper,close_rolling_q25_20,0.9999541924675429,0.9999541924675429
sma_50,close_rolling_q75_50,0.9999541282802371,0.9999541282802371
close_rolling_mean_50,close_rolling_q75_50,0.9999541282802371,0.9999541282802371
open,ema_20,0.9999540894905873,0.9999540894905873
high,close_lag_2,0.9999536578756459,0.9999536578756459
ema_50,ema_100,0.9999533315300878,0.9999533315300878
high,ema_20,0.9999532550888649,0.9999532550888649
close_rolling_mean_5,close_lag_1,0.99995275708926,0.99995275708926
sma_5,close_lag_1,0.99995275708926,0.99995275708926
low,close_lag_2,0.9999520913766695,0.9999520913766695
close_rolling_q75_5,close_lag_1,0.9999515770131313,0.9999515770131313
close_rolling_max_5,close_lag_5,0.999951144297111,0.999951144297111
close_rolling_median_5,close_lag_1,0.9999502381896939,0.9999502381896939
close_lag_3,close_lag_5,0.9999500416278766,0.9999500416278766
close_lag_1,close_lag_3,0.9999500412633655,0.9999500412633655
close,close_lag_2,0.9999500410357192,0.9999500410357192
bb_middle,close_rolling_max_20,0.9999498688986486,0.9999498688986486
sma_20,close_rolling_max_20,0.9999498688986481,0.9999498688986481
close_rolling_mean_20,close_rolling_max_20,0.9999498688986481,0.9999498688986481
low,ema_20,0.9999490319769022,0.9999490319769022
close,ema_20,0.9999489962409688,0.9999489962409688
ema_10,close_lag_3,0.9999488116876982,0.9999488116876982
ema_5,close_lag_3,0.9999484197852481,0.9999484197852481
close_rolling_max_10,close_rolling_q25_10,0.9999482576398991,0.9999482576398991
close_rolling_q25_5,close_lag_1,0.9999477627655325,0.9999477627655325
ema_5,close_rolling_mean_5,0.9999453594082338,0.9999453594082338
sma_5,ema_5,0.9999453594082338,0.9999453594082338
close_rolling_min_10,close_rolling_q75_10,0.9999448050922695,0.9999448050922695
ema_20,close_lag_1,0.9999446969255495,0.9999446969255495
sma_20,close_rolling_min_20,0.9999443652410284,0.9999443652410284
close_rolling_mean_20,close_rolling_min_20,0.9999443652410284,0.9999443652410284
bb_middle,close_rolling_min_20,0.9999443652410281,0.9999443652410281
close_rolling_max_5,close_lag_1,0.9999434361560229,0.9999434361560229
sma_10,close_lag_10,0.9999431835809054,0.9999431835809054
close_rolling_mean_10,close_lag_10,0.9999431835809054,0.9999431835809054
ema_5,close_rolling_median_5,0.9999422267426435,0.9999422267426435
ichimoku_its_9,close_lag_5,0.999941761834826,0.999941761834826
ema_5,close_rolling_q75_5,0.9999413540717726,0.9999413540717726
ema_10,close_rolling_mean_5,0.9999407666139098,0.9999407666139098
sma_5,ema_10,0.9999407666139098,0.9999407666139098
close_rolling_median_10,close_lag_5,0.9999404110807475,0.9999404110807475
ema_5,close_rolling_q25_5,0.999940267533493,0.999940267533493
close_rolling_min_5,close_lag_1,0.9999394100831603,0.9999394100831603
ema_20,close_lag_2,0.9999384459853835,0.9999384459853835
ema_10,close_rolling_median_5,0.9999373965366526,0.9999373965366526
close_rolling_q25_10,close_lag_10,0.9999371462131377,0.9999371462131377
ema_5,close_rolling_max_5,0.99993691106598,0.99993691106598
sma_10,close_lag_5,0.9999365170574996,0.9999365170574996
close_rolling_mean_10,close_lag_5,0.9999365170574996,0.9999365170574996
open,close_rolling_mean_5,0.999936402280855,0.999936402280855
open,sma_5,0.999936402280855,0.999936402280855
close_rolling_q25_20,close_rolling_q75_20,0.9999362608504018,0.9999362608504018
ema_10,close_rolling_q25_5,0.9999361751366111,0.9999361751366111
ema_10,close_rolling_q75_5,0.9999360030875714,0.9999360030875714
bb_width_pct,std_20_pct,-0.9999352411591523,0.9999352411591523
close_rolling_median_10,close_lag_10,0.9999350165252222,0.9999350165252222
high,close_rolling_mean_5,0.9999348902524754,0.9999348902524754
high,sma_5,0.9999348902524754,0.9999348902524754
ema_5,close_rolling_min_5,0.9999346813704085,0.9999346813704085
high,close_rolling_max_5,0.9999345917592521,0.9999345917592521
sma_5,ichimoku_its_9,0.9999345271855832,0.9999345271855832
ichimoku_its_9,close_rolling_mean_5,0.999934527185583,0.999934527185583
low,close_rolling_mean_5,0.99993334799645,0.99993334799645
low,sma_5,0.99993334799645,0.99993334799645
open,close_rolling_q75_5,0.9999332863256342,0.9999332863256342
high,close_rolling_q75_5,0.9999329205087898,0.9999329205087898
close_rolling_max_20,close_rolling_median_20,0.9999327990343803,0.9999327990343803
close,sma_5,0.9999326365398833,0.9999326365398833
close,close_rolling_mean_5,0.9999326365398833,0.9999326365398833
open,close_rolling_max_5,0.9999321746735275,0.9999321746735275
open,close_rolling_median_5,0.9999319425209706,0.9999319425209706
open,close_lag_3,0.9999317490865377,0.9999317490865377
close_rolling_min_10,close_lag_10,0.9999317042326377,0.9999317042326377
ema_10,close_rolling_max_5,0.9999315848297021,0.9999315848297021
ema_10,close_rolling_min_5,0.999931319082515,0.999931319082515
ema_20,close_lag_3,0.9999304654536152,0.9999304654536152
high,close_rolling_median_5,0.9999301096741717,0.9999301096741717
close_rolling_q75_10,close_lag_10,0.9999296186832926,0.9999296186832926
close_rolling_q25_10,close_lag_5,0.9999296002025405,0.9999296002025405
ichimoku_its_9,close_rolling_median_5,0.9999295576658613,0.9999295576658613
open,close_rolling_q25_5,0.9999294614589123,0.9999294614589123
high,close_lag_3,0.9999294053196951,0.9999294053196951
close,close_rolling_max_5,0.9999292275794022,0.9999292275794022
ichimoku_its_9,close_rolling_q75_5,0.9999291116234805,0.9999291116234805
close_rolling_median_50,close_rolling_q75_50,0.9999290471734902,0.9999290471734902
ichimoku_its_9,close_rolling_q25_5,0.9999289243475568,0.9999289243475568
close,close_rolling_q75_5,0.9999288706934872,0.9999288706934872
close_rolling_median_50,close_rolling_q25_50,0.9999287381313746,0.9999287381313746
low,close_rolling_q75_5,0.9999283067182745,0.9999283067182745
low,close_rolling_median_5,0.9999282920525534,0.9999282920525534
low,close_rolling_q25_5,0.9999274603834214,0.9999274603834214
close,close_rolling_median_5,0.9999272932946943,0.9999272932946943
ichimoku_its_9,close_rolling_max_5,0.9999272477950168,0.9999272477950168
ichimoku_its_9,close_lag_10,0.9999271477239245,0.9999271477239245
low,close_lag_3,0.9999270953090741,0.9999270953090741
close_rolling_q75_10,close_lag_5,0.9999270698625001,0.9999270698625001
ichimoku_its_9,close_rolling_min_5,0.9999264292328196,0.9999264292328196
high,close_rolling_q25_5,0.9999262299459997,0.9999262299459997
low,close_rolling_max_5,0.9999259287728242,0.9999259287728242
close_lag_2,close_lag_5,0.9999256237056108,0.9999256237056108
close,close_lag_3,0.9999256232154811,0.9999256232154811
low,close_rolling_min_5,0.9999253974611022,0.9999253974611022
close_rolling_min_20,close_rolling_median_20,0.9999253180654488,0.9999253180654488
close,close_rolling_q25_5,0.9999250096609151,0.9999250096609151
ema_10,ema_50,0.9999246271727557,0.9999246271727557
open,close_rolling_min_5,0.9999237854862149,0.9999237854862149
close_rolling_mean_5,close_rolling_mean_10,0.9999233320436166,0.9999233320436166
sma_5,sma_10,0.9999233320436166,0.9999233320436166
sma_5,close_rolling_mean_10,0.9999233320436166,0.9999233320436166
sma_10,close_rolling_mean_5,0.9999233320436165,0.9999233320436165
close,close_rolling_min_5,0.9999214210626526,0.9999214210626526
close_rolling_max_10,close_lag_10,0.999919971054573,0.999919971054573
close_rolling_max_50,close_rolling_q75_50,0.9999197925644776,0.9999197925644776
sma_10,close_rolling_median_5,0.9999197246201726,0.9999197246201726
close_rolling_median_5,close_rolling_mean_10,0.9999197246201723,0.9999197246201723
sma_5,close_rolling_median_10,0.9999196504042563,0.9999196504042563
close_rolling_mean_5,close_rolling_median_10,0.9999196504042563,0.9999196504042563
high,close_rolling_min_5,0.9999192329175904,0.9999192329175904
sma_10,close_rolling_q25_5,0.9999191449916238,0.9999191449916238
close_rolling_q25_5,close_rolling_mean_10,0.9999191449916236,0.9999191449916236
sma_5,ema_20,0.9999190525434827,0.9999190525434827
ema_20,close_rolling_mean_5,0.9999190525434827,0.9999190525434827
close_rolling_min_10,close_rolling_max_10,0.9999187258998098,0.9999187258998098
close_rolling_mean_5,close_rolling_q75_10,0.9999182606798701,0.9999182606798701
sma_5,close_rolling_q75_10,0.9999182606798701,0.9999182606798701
ema_10,close_lag_5,0.9999179137843324,0.9999179137843324
sma_10,close_rolling_q75_5,0.9999178899959007,0.9999178899959007
close_rolling_q75_5,close_rolling_mean_10,0.9999178899959005,0.9999178899959005
close_rolling_median_5,close_rolling_q75_10,0.9999175909193543,0.9999175909193543
close_rolling_max_5,close_rolling_max_10,0.9999169578521532,0.9999169578521532
close_rolling_q75_5,close_rolling_q75_10,0.9999169095923172,0.9999169095923172
close_rolling_q25_5,close_rolling_median_10,0.999915992582452,0.999915992582452
ema_20,close_rolling_median_5,0.9999152739222802,0.9999152739222802
close_rolling_min_5,close_rolling_mean_10,0.9999151265430022,0.9999151265430022
sma_10,close_rolling_min_5,0.9999151265430019,0.9999151265430019
close_rolling_median_5,close_rolling_median_10,0.9999151131529582,0.9999151131529582
close_rolling_max_5,close_rolling_q75_10,0.999914695342603,0.999914695342603
ichimoku_its_9,close_lag_3,0.9999146541062303,0.9999146541062303
ema_20,close_rolling_q25_5,0.9999143558439904,0.9999143558439904
close_rolling_min_5,close_rolling_median_10,0.999914267634752,0.999914267634752
ema_20,close_rolling_q75_5,0.9999140298881002,0.9999140298881002
sma_10,close_rolling_max_5,0.9999134112707971,0.9999134112707971
close_rolling_max_5,close_rolling_mean_10,0.9999134112707971,0.9999134112707971
close_rolling_q75_5,close_rolling_median_10,0.9999127784460916,0.9999127784460916
close_rolling_min_5,close_rolling_q25_10,0.9999121021666324,0.9999121021666324
close_rolling_mean_5,close_rolling_q25_10,0.9999119398081698,0.9999119398081698
sma_5,close_rolling_q25_10,0.9999119398081698,0.9999119398081698
close_rolling_q25_5,close_rolling_q25_10,0.9999115960984714,0.9999115960984714
close_rolling_q25_5,close_rolling_q75_10,0.9999109833603672,0.9999109833603672
ema_20,close_rolling_max_5,0.9999103436736093,0.9999103436736093
ema_20,close_lag_5,0.9999099410732715,0.9999099410732715
ema_20,close_rolling_min_5,0.9999099056142434,0.9999099056142434
close_rolling_median_5,close_rolling_q25_10,0.9999088559091287,0.9999088559091287
close_rolling_q75_5,close_rolling_max_10,0.9999088091688552,0.9999088091688552
close_rolling_max_5,close_rolling_median_10,0.9999087407209636,0.9999087407209636
close_rolling_min_50,close_rolling_q25_50,0.9999079326622825,0.9999079326622825
close_rolling_mean_10,close_lag_3,0.9999074205534219,0.9999074205534219
sma_10,close_lag_3,0.9999074205534219,0.9999074205534219
close_rolling_min_10,close_lag_5,0.9999069685562898,0.9999069685562898
close_rolling_max_10,close_lag_5,0.9999068277434106,0.9999068277434106
ema_5,close_lag_5,0.9999066830017985,0.9999066830017985
close_rolling_median_10,close_lag_3,0.9999064566859173,0.9999064566859173
close_rolling_min_5,close_rolling_min_10,0.999906137354109,0.999906137354109
bb_middle,close_lag_20,0.999905639481995,0.999905639481995
close_rolling_mean_20,close_lag_20,0.999905639481995,0.999905639481995
sma_20,close_lag_20,0.999905639481995,0.999905639481995
sma_20,bb_lower,0.9999049367512267,0.9999049367512267
bb_lower,close_rolling_mean_20,0.9999049367512267,0.9999049367512267
bb_middle,bb_lower,0.9999049367512262,0.9999049367512262
sma_5,close_rolling_max_10,0.9999045705798459,0.9999045705798459
close_rolling_mean_5,close_rolling_max_10,0.9999045705798459,0.9999045705798459
bb_upper,close_rolling_mean_20,0.9999040476762892,0.9999040476762892
sma_20,bb_upper,0.9999040476762888,0.9999040476762888
bb_upper,bb_middle,0.9999040476762886,0.9999040476762886
close_rolling_q75_10,close_lag_3,0.9999029146153883,0.9999029146153883
close_rolling_q75_5,close_rolling_q25_10,0.9999023776766307,0.9999023776766307
close_lag_1,close_lag_5,0.99990117023585,0.99990117023585
close_rolling_median_5,close_rolling_max_10,0.9998998949999408,0.9998998949999408
close_rolling_min_5,close_rolling_q75_10,0.9998997480508529,0.9998997480508529
ichimoku_its_9,close_lag_2,0.9998996414949038,0.9998996414949038
bb_lower,close_rolling_median_20,0.9998982519956447,0.9998982519956447
close_rolling_q25_5,close_rolling_min_10,0.9998978633628792,0.9998978633628792
ichimoku_iks_26,close_rolling_mean_20,0.9998978206829939,0.9998978206829939
sma_20,ichimoku_iks_26,0.9998978206829937,0.9998978206829937
ichimoku_iks_26,bb_middle,0.9998978206829935,0.9998978206829935
close_rolling_q25_10,close_lag_3,0.9998975365113938,0.9998975365113938
ema_5,ema_50,0.9998957657822596,0.9998957657822596
bb_upper,close_rolling_median_20,0.9998949213217448,0.9998949213217448
close_rolling_mean_5,close_rolling_min_10,0.9998944005800497,0.9998944005800497
sma_5,close_rolling_min_10,0.9998944005800497,0.9998944005800497
close_rolling_max_5,close_rolling_q25_10,0.9998934186341039,0.9998934186341039
close_rolling_q25_20,close_lag_20,0.9998926230236751,0.9998926230236751
close_rolling_q25_5,close_rolling_max_10,0.9998895375904039,0.9998895375904039
sma_10,close_lag_2,0.9998895257233995,0.9998895257233995
close_rolling_mean_10,close_lag_2,0.9998895257233995,0.9998895257233995
close_rolling_max_20,close_rolling_q25_20,0.9998890717954557,0.9998890717954557
close_rolling_median_5,close_rolling_min_10,0.9998890216171514,0.9998890216171514
ema_10,ichimoku_its_9,0.9998885724168076,0.9998885724168076
close_rolling_median_20,close_lag_20,0.999888176215713,0.999888176215713
close_rolling_q75_10,close_lag_2,0.999887148260116,0.999887148260116
close_rolling_median_10,close_lag_2,0.9998847332700344,0.9998847332700344
ichimoku_its_9,close_lag_1,0.9998835827033258,0.9998835827033258
ema_5,ichimoku_its_9,0.9998829313899805,0.9998829313899805
open,close_lag_5,0.9998828570216526,0.9998828570216526
close_rolling_max_10,close_lag_3,0.999882649974895,0.999882649974895
high,close_lag_5,0.9998809669668991,0.9998809669668991
close_rolling_min_20,close_rolling_q75_20,0.9998805770545861,0.9998805770545861
close_rolling_min_20,close_lag_20,0.9998798175475526,0.9998798175475526
ichimoku_iks_26,close_rolling_median_20,0.9998795046179237,0.9998795046179237
close_rolling_q75_5,close_rolling_min_10,0.9998794934065819,0.9998794934065819
close_rolling_q25_10,close_lag_2,0.9998788421796697,0.9998788421796697
ema_20,ichimoku_its_9,0.9998783681135407,0.9998783681135407
ichimoku_iks_26,close_rolling_q25_20,0.9998777353031163,0.9998777353031163
low,close_lag_5,0.9998775790924019,0.9998775790924019
ema_10,close_rolling_mean_10,0.9998774192984796,0.9998774192984796
sma_10,ema_10,0.9998774192984796,0.9998774192984796
close_rolling_q75_20,close_lag_20,0.9998773538478538,0.9998773538478538
close,close_lag_5,0.9998766371507406,0.9998766371507406
close_lag_5,close_lag_10,0.999876636403841,0.999876636403841
close_rolling_min_10,close_lag_3,0.999876306813603,0.999876306813603
close_rolling_min_5,close_rolling_max_10,0.9998762561929375,0.9998762561929375
ichimoku_iks_26,close_rolling_q75_20,0.9998757920702538,0.9998757920702538
ema_10,close_rolling_median_10,0.999872786986676,0.999872786986676
high,H1_high,0.9998724030303197,0.9998724030303197
high,ema_50,0.9998707886016174,0.9998707886016174
open,ema_50,0.9998702397547021,0.9998702397547021
open,ichimoku_its_9,0.9998701627833452,0.9998701627833452
sma_50,close_rolling_max_50,0.9998701289047179,0.9998701289047179
close_rolling_mean_50,close_rolling_max_50,0.9998701289047179,0.9998701289047179
ema_10,close_rolling_q75_10,0.9998698829101049,0.9998698829101049
ema_5,close_rolling_mean_10,0.9998698789609609,0.9998698789609609
sma_10,ema_5,0.9998698789609609,0.9998698789609609
